################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -2.8413666731949694E+00 a       335     0    14     1    10
  7.0403635268443789E+00 a       336     0    14     1    11
  5.2205203106172249E+00 a       337     0    14     1    12
 -2.8044723405926919E+00 a       338     0    14     1    13
 -7.2108963273977023E-01 a       339     0    14     1    14
  1.2111481025173960E+00 a       340     0    14     1    15
 -4.2596580406797688E+00 a       341     0    14     1    16
 -3.7434590216885955E+00 a       342     0    14     1    17
 -4.4234176375538858E+00 a       343     0    14     1    18
  3.6132623148720722E-01 a       344     0    14     1    19
 -4.4033961894401843E+00 a       345     0    14     1    20
  2.6157029840807549E+00 a       346     0    14     1    21
 -2.8351424163908145E-01 a       347     0    14     1    22
 -1.4751696640117196E+00 a       348     0    14     1    23
 -3.2380294947978334E+00 a       349     0    14     1    24
 -1.8123086204858048E+00 a       350     0    14     1    25
 -1.7579755641017947E-01 a       351     0    15     1     1
 -9.5600149788362787E-01 a       352     0    15     1     2
  1.1191944455334847E-02 a       353     0    15     1     3
 -4.8475226574019481E-02 a       354     0    15     1     4
  1.0543282639674321E+00 a       355     0    15     1     5
 -8.5457458217168725E-01 a       356     0    15     1     6
 -1.9902993862662035E+00 a       357     0    15     1     7
  6.3220768597275967E-01 a       358     0    15     1     8
 -2.0420628354602175E+00 a       359     0    15     1     9
 -4.1877091009882163E-02 a       360     0    15     1    10
 -1.0765112115896203E+00 a       361     0    15     1    11
  7.8976145773720685E-01 a       362     0    15     1    12
 -8.9677489707018943E-01 a       363     0    15     1    13
  7.8112192794631963E-01 a       364     0    15     1    14
 -2.0009731682690667E-02 a       365     0    15     1    15
  1.8797448633240292E+00 a       366     0    15     1    16
  1.6535245739618032E-01 a       367     0    15     1    17
 -8.6028544405020602E-01 a       368     0    15     1    18
 -1.6965393178445110E+00 a       369     0    15     1    19
 -4.8782946874562383E-01 a       370     0    15     1    20
 -8.2607073369300987E-01 a       371     0    15     1    21
  1.6526897176925677E+00 a       372     0    15     1    22
 -8.5986575401217358E-01 a       373     0    15     1    23
  3.6164622530797036E-01 a       374     0    15     1    24
 -2.7925443295349706E-01 a       375     0    15     1    25
 -2.6297006342255056E+00 a       376     0    16     1     1
  3.9782557922896417E-01 a       377     0    16     1     2
 -1.1112508896533866E+00 a       378     0    16     1     3
 -9.3326092317329490E-01 a       379     0    16     1     4
  1.3526581142709371E-01 a       380     0    16     1     5
 -1.0390053228339484E+00 a       381     0    16     1     6
 -2.1217634810208597E+00 a       382     0    16     1     7
 -1.1036759418510915E+00 a       383     0    16     1     8
 -1.9902793793713986E+00 a       384     0    16     1     9
 -1.8126763006466926E-01 a       385     0    16     1    10
 -8.2049444402786242E-01 a       386     0    16     1    11
 -1.5182864387633435E+00 a       387     0    16     1    12
 -6.2267874917363142E-01 a       388     0    16     1    13
  9.2578804255005853E-01 a       389     0    16     1    14
 -4.1547441544390767E-01 a       390     0    16     1    15
  1.3679774255602375E+00 a       391     0    16     1    16
  2.5690587191493125E-01 a       392     0    16     1    17
  4.4198498534441644E-01 a       393     0    16     1    18
  3.2907191659601759E-01 a       394     0    16     1    19
  8.8768327474570285E-01 a       395     0    16     1    20
 -1.3515613633932126E+00 a       396     0    16     1    21
 -5.7578951001647605E-01 a       397     0    16     1    22
  3.0465462080074074E-01 a       398     0    16     1    23
  1.9112600995221529E-01 a       399     0    16     1    24
  9.7741748820462027E-01 a       400     0    16     1    25
  7.5839698274212619E+00 a       401     0    17     1     1
  4.8823166673390244E+00 a       402     0    17     1     2
  2.8009509660639331E+00 a       403     0    17     1     3
 -1.3600021957234901E+01 a       404     0    17     1     4
  1.4094093266258826E+01 a       405     0    17     1     5
  1.4605706234376179E+00 a       406     0    17     1     6
  6.6793665462250846E+00 a       407     0    17     1     7
 -1.7450017696360486E+01 a       408     0    17     1     8
  8.4101003010659170E+00 a       409     0    17     1     9
 -1.8626949676657055E+01 a       410     0    17     1    10
 -4.3982581695750174E+00 a       411     0    17     1    11
 -8.4190452893259859E+00 a       412     0    17     1    12
  1.6894167526936952E+00 a       413     0    17     1    13
  1.0726448921535143E+00 a       414     0    17     1    14
  4.1428220057448828E-01 a       415     0    17     1    15
 -1.7482435099538222E+01 a       416     0    17     1    16
 -3.0872909622739089E+00 a       417     0    17     1    17
 -1.4050150854377061E+00 a       418     0    17     1    18
 -1.0037802648339213E+01 a       419     0    17     1    19
 -3.9077307284833975E+00 a       420     0    17     1    20
 -2.0099298634862901E+01 a       421     0    17     1    21
 -1.4577179935355394E+01 a       422     0    17     1    22
 -3.0701826494987658E+00 a       423     0    17     1    23
  1.9830879678644727E+01 a       424     0    17     1    24
  3.9081795626698810E+00 a       425     0    17     1    25
  3.1456298877263937E+00 a       426     0    18     1     1
 -1.7497532935680911E+00 a       427     0    18     1     2
  4.2248848597409894E-01 a       428     0    18     1     3
 -2.0504832170036799E+01 a       429     0    18     1     4
 -8.2012426197197570E+00 a       430     0    18     1     5
  2.2190368006326202E+00 a       431     0    18     1     6
 -1.0570207539111056E+01 a       432     0    18     1     7
  2.8310197428063377E+00 a       433     0    18     1     8
 -8.9420180395191693E+00 a       434     0    18     1     9
 -4.1734938105651738E+00 a       435     0    18     1    10
 -4.8235318639558216E+00 a       436     0    18     1    11
  1.5075265482012017E+00 a       437     0    18     1    12
 -5.0645224384610605E+00 a       438     0    18     1    13
  5.1072515669037992E+00 a       439     0    18     1    14
 -1.0493136661422466E-01 a       440     0    18     1    15
  3.7189411277970499E+00 a       441     0    18     1    16
  7.1550671408492663E+00 a       442     0    18     1    17
  2.5583401014316434E+00 a       443     0    18     1    18
 -3.2416161125113439E+00 a       444     0    18     1    19
 -6.9767635078668189E+00 a       445     0    18     1    20
  7.2229569548141388E+00 a       446     0    18     1    21
 -2.4198579282819237E+00 a       447     0    18     1    22
 -7.1546917713952078E+00 a       448     0    18     1    23
 -1.2456594685686836E+01 a       449     0    18     1    24
 -3.0804634341998954E-01 a       450     0    18     1    25
  3.8962488028656574E+00 a       451     0    19     1     1
  1.9002533140437887E+00 a       452     0    19     1     2
 -2.1037878644083867E+00 a       453     0    19     1     3
  1.8062590144838806E+00 a       454     0    19     1     4
  3.2339996489441374E+00 a       455     0    19     1     5
 -2.3662416344342221E+00 a       456     0    19     1     6
  2.7755492845026777E-02 a       457     0    19     1     7
  1.4209027029680070E+00 a       458     0    19     1     8
 -4.5601184371233314E+00 a       459     0    19     1     9
  3.3177267589810140E+00 a       460     0    19     1    10
 -1.7923720074802398E+00 a       461     0    19     1    11
 -1.7098195620407413E+00 a       462     0    19     1    12
 -3.4777516622648244E+00 a       463     0    19     1    13
  1.5584014683995964E+00 a       464     0    19     1    14
 -2.2076450838221608E-02 a       465     0    19     1    15
 -3.4223148251918638E+00 a       466     0    19     1    16
 -1.0030511964711171E+00 a       467     0    19     1    17
  8.9340896791381041E-01 a       468     0    19     1    18
 -8.6228333527284007E-01 a       469     0    19     1    19
  1.9739688946961742E+00 a       470     0    19     1    20
 -9.9523468853283670E-01 a       471     0    19     1    21
  5.4182928792248504E+00 a       472     0    19     1    22
  1.1565867897223501E+00 a       473     0    19     1    23
 -2.4647137824828874E-01 a       474     0    19     1    24
  1.4810432211450124E+00 a       475     0    19     1    25
  1.0225917989928730E+00 a       476     0    20     1     1
 -1.8788380862034346E+00 a       477     0    20     1     2
 -1.0123096272301712E+01 a       478     0    20     1     3
  6.8731043690916307E+00 a       479     0    20     1     4
 -5.0032940010166405E+00 a       480     0    20     1     5
  1.9613655146451499E+01 a       481     0    20     1     6
 -7.1406321108735247E+00 a       482     0    20     1     7
 -2.3648283021019761E-02 a       483     0    20     1     8
  3.6485505071518695E+01 a       484     0    20     1     9
  2.5501932020260805E+00 a       485     0    20     1    10
  1.8229499700005427E+01 a       486     0    20     1    11
  5.6329055068715117E-01 a       487     0    20     1    12
 -1.1678428503494494E+01 a       488     0    20     1    13
  1.1817644447486025E+01 a       489     0    20     1    14
